030.1/06t1S;Le grand Atlas de l'histoire mondiale;  ;Paris;Encyclopaedia Universalis;1985;374;Encyclopédie universelle;15738
030.1/06t2S;Le grand Atlas de l'astronomie;  ;Paris;Encyclopaedia Universalis;1983;434;Encyclopédie universelle;15739
030.1/06t3S;Le grande Atlas de l'architecture mondiale;  ;Paris;Encyclopaedia Universalis;1982;418;Encyclopédie universelle;15740
030.1/06t4S;Le grand Atlas de la mer;  ;Paris;Encyclopaedia Universalis;1983;322;Encyclopédie universelle;15741
030.1/07t10S;Bordas encyclopédie: médecine. t10;CARATINI Roger;Milan;Bordas;1979;0;Encyclopédie;9199
030.1/07t11S;Bordas encyclopédie: art de l'ingénieur. t11;CARATINI Roger;Milan;Bordas;1974;0;Encyclopédie;9213
030.1/07t12S;Bordas encyclopédie: beaux-arts, arts plastiques. t12;CARATINI Roger;Milan;Bordas;1973;0;Encyclopédie;9195
030.1/07t13S;Bordas encyclopédie : beaux-arts (2)cinéma, musique et arts divers. t13;CARATINI Roger;Milan;Bordas;1973;0;Encyclopédie;9198
030.1/07t14S;Bordas encyclopédie: jeux, divertissements, sports. t14;CARATINI Roger;Milan;Bordas;1973;0;Encyclopédie;9201
030.1/07t15S;Bordas encyclopédie: l'aventure littéraire de l'humanité (1) t15;CARATINI Roger;Milan;Bordas;1970;0;Encyclopédie;9204
030.1/07t16S;Bordas encyclopédie: l'aventure littéraire (2). t16;CARATINI Roger;Milan;Bordas;1971;0;Encyclopédie;9197
030.1/07t17S;Bordas encyclopédie: visage de la terre. t17;CARATINI Roger;Milan;Bordas;1969;0;Encyclopédie;9209
030.1/07t18S;Bordas encyclopédie: histoire universelle (1) le monde antique. t18;CARATINI Roger;Milan;Bordas;1968;0;Encyclopédie;9202
030.1/07t19S;Bordas encyclopédie: histoire universelle (2) de l'antiquité à nos jours. t19;CARATINI Roger;Milan;Bordas;1969;0;Encyclopédie;9196
030.1/07t1S;Bordas encyclopédie: philosophie, religion. t1;CARATINI Roger;Milan;Bordas;1968;0;Encyclopédie;9212
030.1/07t20S;Bordas encyclopédie (3) de l'antiquité à nos jours: le monde moins l'Europe. t20;CARATINI Roger;Milan;Bordas;1969;0;Encyclopédie;9211
030.1/07t21S;Bordas encyclopédie: index, généralités. t21;CARATINI Roger;Milan;Bordas;1978;0;Encyclopédie;9214
030.1/07t2S;Bordas encyclopédie: sciences sociales (1). t2;CARATINI Roger;Milan;Bordas;1971;0;Encyclopédie;9205
030.1/07t3;Bordas encyclopédie: sciences sociales (2), linguistique. t3;CARATINI Roger;Milan;Bordas;1972;0;Encyclopédie;9206
030.1/07t4;Bordas encyclopédie: mathématique. t4;CARATINI Roger;Milan;Bordas;1979;0;Encyclopédie;9200
030.1/07t5S;Bordas encyclopédie: astronomie. t5;CARATINI Roger;Milan;Bordas;1968;0;Encyclopédie;9203
030.1/07t6S;Bordas encyclopédie: physique, chimie. t6;CARATINI Roger;Milan;Bordas;1979;0;Encyclopédie;9208
030.1/07t7S;Bordas encyclopédie: matière inerte, matière vivante. t7;CARATINI Roger;Milan;Bordas;1973;0;Encyclopédie;9210
030.1/07t8;Bordas encyclopédie: la vie des plantes. t8;CARATINI Roger;Milan;Bordas;1971;;Encyclopédie;9207
030.1/07t9S;Bordas encyclopédie: la vie animale. t9;CARATINI Roger;Milan;Bordas;1968;0;Encyclopédie;9215
030.1/08t1S;Encyclopédie AZ. vol.1;  ;Paris;Atlas;1978;390;Encyclopédie;7554
030.1/08t2S;L'encyclopédie AZ. vol.2;  ;Paris;Atlas;1979;770;Encyclopédie;7555
030.1/08t3S;L'encyclopédie: AZ. vol 3;  ;Paris;Atlas;1979;1148;Encyclopédie;7556
030.1/08t4S;L'encyclopédie AZ. vol.4;  ;Paris;Atlas;1979;1528;Encyclopédie;7557
030.1/08t5S;Encyclopédie AZ. vol 5;  ;Paris;Atlas;1979;1908;Encyclopédie;7558
030.1/08t6S;L'encyclopédie AZ. vol6;  ;Paris;Atlas;1980;2288;Encyclopédie;7559
030.1/08t7S;L'encyclopédie AZ. vol7;  ;Paris;Atlas;1980;2668;Encyclopédie;7560
030.1/08t8S;L'encyclopédie AZ. vol8;  ;Paris;Atlas;1981;3048;Encyclopédie;7561
030.1/08t9S;L'encyclopédie AZ. vol9;  ;Paris;Atlas;1981;3428;Encyclopédie;7562
030.1/09t1S;Focus: nouvelle encyclopédie internationale. t1;  ;Paris;Bordas;1976;0;Dictionnaire;437
030.1/09t2S;Focus: nouvelle encyclopédie internationale. t2;  ;Paris;Bordas;1976;1360;Dictionnaire;438
030.1/09t3S;Focus: nouvelle encyclopédie internationale. t3;  ;Paris;Bordas;1975;1890;Dictionnaire;439
030.1/09t4S;Focus: nouvelle encyclopédie internationale. t4;  ;Paris;Bordas;1975;2616;Dictionnaire;440
030.1/09t5S;Focus: nouvelle encyclopédie internationale. t5;  ;Paris;Bordas;1975;3324;Dictionnaire;441
030.1/09t6S;Focus: nouvelle encyclopédie internationale. t6;  ;Paris;Bordas;1975;4032;Dictionnaire;442
030.1/09t7S;Focus: nouvelle encyclopédie internationale. t7;  ;Paris;Bordas;1975;4716;Dictionnaire;443
030.1/09t8S;Focus: nouvelle encyclopédie internationale. t8;  ;Paris;Bordas;1975;5368;Dictionnaire;444
030.1/10t1S;Histoire de la musique: des origines à Jean Sébastien Bach. t1;MANUEL Roland;;Gallimard;1977;1248;Encyclopédie générale;154
030.1/10t2S;Histoire de la musique: du XVIIIè siècle à nos jours. t2;MANUEL Roland;;Gallimard;1963;1882;Encyclopédie générale;155
030.1/10_psy_S;Encyclopédie de la pléiade: psychologie;PIAGET Jean (s/s.dir);Paris;Gallimard;1987;1960;Encyclopédie: psychologie;22341
030.1/11S;L'histoire et ses méthodes: recherches, conversations et critiques des témoignages;SAMARAN Charles;;Gallimard;1961;1774;Encyclopédie générale;156
030.1/12S;Histoire des spectacles;DUMUR Guy;;Gallimard;1965;2018;Encyclopédie générale;157
030.1/13S;Histoire des littératures: littératures françaises, connexes et marginales;QUENEAU Raymond;;Gallimard;1978;2114;Encyclopédie générale;158
030.1/14S;Géographie générale;JOURNAUX André;;Gallimard;1966;1884;Encyclopédie générale;159
030.1/15S;Géophysique;GOGUEL Jean;;Gallimard;1971;1310;Encyclopédie générale;160
030.1/16S;Logique et connaissance scientifique;PIAGET Jean;;Gallimard;1967;1352;Encyclopédie générale;161
030.1/17S;La France et les français;FRANçOIS Michel;;Gallimard;1972;1678;Encyclopédie générale;162
030.1/18S;Le langage;MARTINET André;;Gallimard;1968;1528;Encyclopédie générale;163
030.1/19S;Jeux et sports;CAILLOIS Roger;;Gallimard;1967;1828;Encyclopédie générale;164
030.1/1t11,12S;International encyclopedia of the social sciences. t11,12;SILLS David;United States;Macmilan;1968;1242;Encyclopédie des sciences sociales;13031
030.1/1t13,14S;International encyclopedia of the social sciences. t13,14;SILLS David;United States;Macmilan;1968;1202;Encyclopédie des sciences sociales;13032
030.1/1t15,16S;International encyclopedia of the social sciences. t15,16;SILLS David;United States;Macmilan;1968;1709;Encyclopédie des sciences sociales;13033
030.1/20S;Ethnologie régionale: Afrique, Océanie;POIRIER Jean;;Gallimard;1972;1612;Encyclopédie générale;165
030.1/21S;Physiologie;FONTAINE Maurice;;Gallimard;1969;1940;Encyclopédie générale;166
030.1/22S;Biologie;ROSTAND Jean;;Gallimard;1965;2040;Encyclopédie générale;167
030.1/23S;Géographie régionale;BRUNHS Delmarre Marie;;Gallimard;1975;1732;Encyclopédie générale;168
030.1/24S;Médecine: présentation des sciences de base pathologie générale;GRACIANSKY Pierre;;Gallimard;1980;1730;Encyclopédie générale;13815
030.1/25t1S;Histoire de l'art: le monde non-chrétien. t1;DEVAMBEZ Pierre;;Gallimard;1961;2208;Encyclopédie générale;139
030.1/25t2S;Histoire de l'art: l'Europe médiévale. t2;BABELON Jean;Dijon;Gallimard;1966;1732;Encyclopédie générale;140
030.1/25t3S;Histoire de l'art: renaissance, baroque, romantisme. t3;BABELON Jean;Dijon;Gallimard;1965;1700;Encyclopédie générale;141
030.1/25t4S;Histoire de l'art: du réalisme à nos jours. t4;DORIVAL Bernard;;Gallimard;1969;1708;Encyclopédie générale;142
030.1/26t1S;Histoires des religions: religions antiques, religions de salut. t1;PUECH Henri-Charles;;Gallimard;1970;1498;Encyclopédie générale;143
030.1/26t2S;Histoire des religions: religion de salut, religions constituées. t2;PUECH Henri-Charles;;Gallimard;1972;1600;Encyclopédie générale;144
030.1/26t3S;Histoire des religions. t3;PUECH Henri-Charles;;Gallimard;1976;1462;Encyclopédie générale;145
030.1/27t1S;Zoologie: généralités, protozoaires;GRASSE Pierre-Paul;;Gallimard;1963;1250;Encyclopédie générale;146
030.1/27t2S;Zoologie: les arthropodes. t2;GRASSE Pierre-Paul;;Gallimard;1963;1040;Encyclopédie générale;147
030.1/27t3S;Zoologie: métazoaires. t3;TETRY Andrée;;Gallimard;1972;1324;Encyclopédie générale;148
030.1/27t4S;Zoologie: tétrapodes domaines faunistiques, zoogéographie. t4;TETRY Andrée;;Gallimard;1974;1678;Encyclopédie générale;149
030.1/28T2S;Géologie: l'évolution de la terre. t2;GOGUEL Jean;;Gallimard;1973;1220;Encyclopédie générale;153
030.1/28t1S;Géologie: la composition de la terre. t1;GOGUEL Jean;;Gallimard;1972;1202;Encyclopédie générale;152
030.1/29t2;Histoire de la philosophie: la renaissance, la révolution kantienne. t2;BELAVAL Yvon;;Gallimard;1973;1146;Encyclopédie générale;150
030.1/29t3S;Histoire de la philosophie: du XIXè siècle à nos jours. t3;BELAVAL Yvon;;Gallimard;1974;1390;Encyclopédie générale;151
030.1/30t10S;Encyclopédie thématique Weber : la société. t10;  ;Paris;Weber;1972;354;Encyclopédie;4268
030.1/30t11S;Encyclopédie thématique Weber : la société. t11;  ;Paris;Weber;1978;310;Encyclopédie;4269
030.1/30t12S;Encyclopédie thématique Weber : la société. t12;  ;Paris;Weber;1978;378;Encyclopédie;4270
030.1/30t13S;Encyclopédie thématique Weber : la pensée. t13;  ;Paris;Weber;1978;310;Encyclopédie;4271
030.1/30t14S;Encyclopédie thématique Weber : linguistique littérature universelle t14;  ;Paris;Weber;1978;362;Encyclopédie;4272
030.1/30t16S;Encyclopédie thématique weber : l'art. t16;  ;Paris;Weber;1978;342;Encyclopédie;4274
030.1/30t17S;Encyclopédie thématique Weber : Atlas général. t17;  ;Paris;Weber;1976;300;Encyclopédie;4275
030.1/30t18;Encyclopédie thématique Weber : supplément. t18;  ;Paris;Weber;1975;244;Encyclopédie;4276
030.1/30t1S;Encyclopédie thématique Weber : le monde. t1;  ;Paris;Weber;1976;346;Encyclopédie;4259
030.1/30t2S;Encyclopédie thématique Weber: la vie. t2;  ;Paris;Weber;1976;326;Encyclopédie;4260
030.1/30t3S;Encyclopédie thématique Weber: la vie. t3;AKOUN André;Paris;Weber;1976;318;Encyclopédie;4261
030.1/30t4S;Encyclopédie thématique Weber : l'homme. t4;  ;Paris;Weber;1976;326;Encyclopédie;4262
030.1/30t5S;Encyclopédie thématique Weber : la science. t5;  ;Paris;Weber;1976;306;Encyclopédie;4263
030.1/30t6S;Encyclopédie thématique Weber : la science. t6;  ;Paris;Weber;1972;332;Encyclopédie;4264
030.1/30t7S;Encyclopédie thématique Weber : la technique. t7;  ;Paris;Weber;1972;324;Encyclopédie;4265
030.1/30t8;Encyclopédie thématique Weber : la technique. t8;  ;Paris;Weber;1976;310;Encyclopédie;4266
030.1/30t9S;Encyclopédie thématique Weber : histoire universelle. t9;  ;Paris;Weber;1973;362;Encyclopédie;4267
030.1/31t1S;L'univers en couleurs: l'univers. t1;DE La Cotardiere Ph;Paris;Larousse;1977;136;Encyclopédie;4378
030.1/31t2S;L'univers en couleurs: le monde de la nature. t2;CRUSIN Michel (pref);Paris;Larousse;1977;248;Encyclopédie;4379
030.1/31t3S;L'univers en couleurs: les sciences. t3;AUGER Pierre (préf);Paris;Larousse;1978;152;Encyclopédie;4380
030.1/31t4S;L'univers en couleurs: l'homme. t4;CAZENEUVE Jean (pref;Paris;Larousse;1978;312;Encyclopédie;4383
030.1/31t5S;L'univers en couleurs: la technologie. t5;DAUMAS Maurice (préf);Paris;Larousse;1978;256;Encyclopédie;4384
030.1/31t6S;L'univers en couleurs: l'histoire des origines à Louis XIV. t6;GODECHOT Jacques (pr;Paris;Larousse;1978;277;Encyclopédie;4381
030.1/31t7S;L'univers en couleurs: l'histoire : du XVIIIè siècle à nos jours. t7;  ;Paris;Larousse;1978;476;Encyclopédie;4382
030.1/32t1S;Panorama du XXè siècle: encyclopédie du monde contemporain. t1;  ;Paris;Larousse;1975;326;Encyclopédie;5902
030.1/32t2S;Panorama du XXè siècle: encyclopédie du monde contemporain. t2;  ;Paris;Larousse;1975;646;Encyclopédie;5903
030.1/32t3S;Panorama du XXè siècle: encyclopédie du monde contemporain. t3;  ;Paris;Larousse;1975;966;Encyclopédie;5904
030.1/32t4S;Panorama du XXè siècle: encyclopédie du monde contemporain. t4;  ;Paris;Larousse;1976;1286;Encyclopédie;5905
030.1/32t5S;Panorama du XXè siècle: encyclopédie du monde contemporain. t5;  ;Paris;Larousse;1976;1586;Encyclopédie;5906
030.1/32t6S;Panorama du XXè siècle: encyclopédie du monde contemporain. t6;  ;Paris;Larousse;1976;1986;Encyclopédie;5907
030.1/32t7S;Panorama du XXè siècle: encyclopédie du monde contemporain. t7;  ;Paris;Larousse;1977;2184;Encyclopédie;5908
030.1/32t8S;Panorama du XXè siècle: encyclopédie du monde contemporain. t8;  ;Paris;Larousse;1977;2486;Encyclopédie;5909
030.1/32t9S;Panorama du XXè siècle: encyclopédie du monde contemporain. t9;  ;Paris;Larousse;1977;2786;Encyclopédie;5910
030.1/33t1S;Encyclopédie générale: géographie, histoire, grammaire, littérature, philosophie. t1;  ;Paris;Larousse;1967;906;Encyclopédie;4452
030.1/33t2S;Encyclopédie générale : mathématiques, astronomie, physique, chimie, sciences naturelles. t2;  ;Paris;Larousse;1968;846;Encyclopédie;4453
030.1/33t3S;Encyclopédie générale : industries et techniques beaux-arts. t3;  ;Paris;Larousse;1968;978;Encyclopédie;4454
030.1/34t10S;Encyclopaedia Universalis : Universalis 1983. t10;  ;Paris;Euf;1983;642;Encyclopédie;15736
030.1/34t11S;Encyclopaedia Universalis : Universalis 1984. t11;  ;Paris;Euf;1984;674;Encyclopédie;15737
030.1/34t12S;Encyclopaedia Universalis : les évènements, les hommes, les problèmes en 1984. t12;  ;Paris;Encyclopaedia Universalis;1985;674;Encyclopédie;17593
030.1/34t13S;Encyclopaedia Universalis : les événements, hommes, les problèmes, en 1985. t13;  ;Paris;Encyclopaedia Universalis;1986;674;Encyclopédie;17594
030.1/34t14S;Encyclopaedia Universalis (1988): les évènements, les hommes, les problèmes, en 1987. t14;  ;Paris;Encyclopaedia Universalis;1988;674;Encyclopédie;18608
030.1/34t1S;Encyclopaedia Universalis : Universalis 1974. t1;  ;Paris;Euf;1974;658;Encyclopédie;110
030.1/34t2S;Encyclopaedia Universalis : Universalis 1975. t2;  ;Paris;Euf;1975;594;Encyclopédie;111
030.1/34t3S;Encyclopaedia Universalis : Universalis 1976. t3;  ;Paris;Euf;1976;626;Encyclopédie;112
030.1/34t4S;Encyclopaedia Universalis : Universalis 1977. t4;  ;Paris;Euf;1977;626;Encyclopédie;113
030.1/34t5S;Encyclopaedia Universalis : Universalis 1978. t5;  ;Paris;Euf;1978;642;Encyclopédie;114
030.1/34t6S;Encyclopaedia Universalis : Universalis 1979. t6;  ;Paris;Euf;1979;642;Encyclopédie;2850
030.1/34t7S;Encyclopaedia Universalis : Universalis 1980. t7;  ;Paris;Euf;1980;642;Encyclopédie;2876
030.1/34t8S;Encyclopaedia Universalis : Universalis 1981. t8;  ;Paris;Euf;1981;642;Encyclopédie;15734
030.1/34t9S;Encyclopaedia Universalis : Universalis 1982. t9;  ;Paris;Euf;1982;642;Encyclopédie;15735
030.1/35t11S;Encyclopaedia Universalis. t11;  ;Paris;Euf;1978;1089;Encyclopédie;100
030.1/35t12S;Encyclopaedia Universalis. t12;  ;Paris;Euf;1978;1098;Encyclopédie;101
030.1/35t13S;Encyclopaedia Universalis. t13;  ;Paris;Euf;1978;1108;Encyclopédie;102
030.1/35t14S;Encyclopaedia Universalis. t14;  ;Paris;Euf;1978;1108;Encyclopédie;103
030.1/35t15S;Encyclopaedia Universalis. t15;  ;Paris;Euf;1978;1108;Encyclopédie;104
030.1/35t16S;Encyclopaedia Universalis. t16;  ;Paris;Euf;1978;1108;Encyclopédie;105
030.1/35t17S;Encyclopaedia Universalis. t17;  ;Paris;Euf;1978;716;Encyclopédie;106
030.1/35t18S;Encyclopaedia Universalis. t18;  ;Paris;Euf;1978;762;Encyclopédie;107
030.1/35t19S;Encyclopaedia Universalis. t19;  ;Paris;Euf;1978;1224;Encyclopédie;108
030.1/35t1S;Encyclopaedia Universalis. t1;  ;Paris;Euf;1978;1106;Encyclopédie;90
030.1/35t20S;Encyclopaedia Universalis. t20;  ;Paris;Euf;1978;2266;Encyclopédie;109
030.1/35t21S;Encyclopaedia Universalis: supplément. t21;  ;Paris;Euf;1980;888;Encyclopédie;2881
030.1/35t22S;Encyclopaedia Universalis: supplément. t22;  ;Paris;Euf;1980;1800;Encyclopédie;2878
030.1/35t23S;Encyclopaedia Universalis : supplément: le savoir. t23;  ;Paris;Euf;1984;1122;Encyclopédie;15742
030.1/35t24S;Encyclopaedia Universalis : supplément: les enjeux. t24;  ;Paris;Euf;1984;1106;Encyclopédie;15743
030.1/35t25S;Encyclopaedia Universalis : chronica : la marche du temps;  ;Paris;Euf;1983;946;Encyclopédie;16967
030.1/35t26S;Encyclopaedia Universalis : symposium les chiffres du monde. t26;  ;Paris;Euf;1988;514;Encyclopédie;18875
030.1/35t2S;Encyclopaedia Universalis. t2;  ;Paris;Euf;1977;1108;Encyclopédie;91
030.1/35t3S;Encyclopaedia Universalis. t3;  ;Paris;Euf;1978;1108;Encyclopédie;92
030.1/35t4S;Encyclopaedia Universalis. t4;  ;Paris;Euf;1978;1076;Encyclopédie;93
030.1/35t5S;Encyclopaedia Universalis. t5;  ;Paris;Euf;1978;1106;Encyclopédie;94
030.1/35t6S;Encyclopaedia Universalis. t6;  ;Paris;Euf;1978;1108;Encyclopédie;95
030.1/35t7S;Encyclopaedia Universalis. t7;  ;Paris;Euf;1978;1108;Encyclopédie;96
030.1/35t8S;Encyclopaedia Universalis. t8;  ;Paris;Euf;1978;1106;Encyclopédie;97
030.1/35t9S;Encyclopaedia Universalis. t9;  ;Paris;Euf;1978;1108;Encyclopédie;98
030.1/36S;La grande encyclopédie du Maroc: agriculture et pêche;LAHLIMI Alami Ahmed;Italie;Gruppo walk over;1987;242;Encyclopédie: Maroc;20099
030.1/37S;La grande encyclopédie du Maroc: histoire;KENBIB Mohammed;Italie;Gruppo walk over;1987;242;Encyclopédie : Maroc;20100
030.1/38S;La grande encyclopédie du Maroc: géographie humaine;AGOUMY Taoufik;Italie;Gruppo walk over;1987;242;Encyclopédie: Maroc;20101
030.1/39S;La grande encyclopédie du Maroc: faune;DAKKI Mohamed;Italie;Gruppo walk over;1987;242;Encyclopédie: Maroc;20102
030.1/40S;La grande encyclopédie du Maroc: sports et loisirs. t1;RAHMOUNI Hassan;Italie;Gruppo walk over;1987;242;Encyclopédie: Maroc;20103
030.1/42S;La grande encyclopédie du Maroc: économie et finances: structures et politique;EL MALKI Habib;Italie;Gruppo walk over;1986;242;Encyclopédie: Maroc;20094
030.1/41S;La grande encyclopédie du Maroc: les institutions: politiques administratives judiciaires;SEHIMI Mustapha;Italie;Gruppo walk over;1986;242;Encyclopédie: Maroc;20093
030.1/43S;La grande encyclopédie du Maroc : géographie physique et géologie;EL GHARBAOUI Ahmed;Italie;Gruppo walk over;1987;242;Encyclopédie : Maroc;20095
030.1/44S;La grande encyclopédie du Maroc : flore et végétation;FENNANE Mohamed;Italie;Gruppo walk over;1987;242;Encyclopédie: Maroc;20096
030.1/45t1S;La grande encyclopédie du Maroc : culture, arts et traditions: vol.1;EL KASRI Mustapha. SQALLI Hassan;Italie;Gruppo walk over;1987;242;Encyclopédie : Maroc;20097
030.1/45t2S;La grande encyclopédie du Maroc : culture, arts et traditions: vol.2;EL KASRI Mustapha. SQALLI Hassan;Italie;Gruppo walk over;1987;242;Encyclopédie : Maroc;20098
